67: neval=611{'avg': -272497.2319195543, 'max': -17594.466013883626, 'min': -274165.02731881547} best=-274165.02731881547
68: neval=575{'avg': -273286.35341207706, 'max': -70741.40345737728, 'min': -274165.02731881547} best=-274165.02731881547
69: neval=606{'avg': -273237.3357298033, 'max': -63365.594037505136, 'min': -274165.02731881547} best=-274165.02731881547
70: neval=581{'avg': -272327.5627070443, 'max': -55287.89563676945, 'min': -274165.02731881547} best=-274165.02731881547
71: neval=602{'avg': -272483.8284922033, 'max': -12740.28706026532, 'min': -274165.02731881547} best=-274165.02731881547
72: neval=598{'avg': -274091.0786984443, 'max': -218703.56204035698, 'min': -274165.02731881547} best=-274165.02731881547
73: neval=580{'avg': -272264.8779727416, 'max': 16740.785115584564, 'min': -274165.02731881547} best=-274165.02731881547
74: neval=615{'avg': -272605.16483972804, 'max': 159747.61358899402, 'min': -274165.02731881547} best=-274165.02731881547
75: neval=582{'avg': -273002.464180562, 'max': -50284.86480661784, 'min': -274165.02731881547} best=-274165.02731881547
76: neval=586{'avg': -271982.4738005711, 'max': -17166.608965572213, 'min': -274165.02731881547} best=-274165.02731881547
77: neval=588{'avg': -273772.4155746178, 'max': -179438.4775608811, 'min': -274165.02731881547} best=-274165.02731881547
78: neval=612{'avg': -273194.7301224213, 'max': -64499.073497757505, 'min': -274165.02731881547} best=-274165.02731881547
79: neval=585{'avg': -273334.9818278955, 'max': 43800.09106828537, 'min': -274165.02731881547} best=-274165.02731881547
80: neval=590{'avg': -272281.8983336843, 'max': 17939.000985901566, 'min': -274165.02731881547} best=-274165.02731881547
81: neval=627{'avg': -273212.13814019994, 'max': -6822.622442416439, 'min': -274165.02731881547} best=-274165.02731881547
82: neval=587{'avg': -273329.1745659612, 'max': -47451.50490261831, 'min': -274165.02731881547} best=-274165.02731881547
83: neval=588{'avg': -273515.3941816953, 'max': -37065.233350937175, 'min': -274165.02731881547} best=-274165.02731881547
84: neval=591{'avg': -272517.88375567796, 'max': -64611.66018994358, 'min': -274165.02731881547} best=-274165.02731881547
85: neval=603{'avg': -273182.5794765911, 'max': 65128.48851435355, 'min': -274165.02731881547} best=-274165.02731881547
86: neval=595{'avg': -273235.0106290358, 'max': -61119.62143360024, 'min': -274165.02731881547} best=-274165.02731881547
87: neval=589{'avg': -272220.2920186394, 'max': -82613.63485595718, 'min': -274165.02731881547} best=-274165.02731881547
88: neval=613{'avg': -272217.1959966164, 'max': 25051.287018303345, 'min': -274165.02731881547} best=-274165.02731881547
89: neval=597{'avg': -272169.97709173406, 'max': -36748.9144458872, 'min': -274165.02731881547} best=-274165.02731881547
90: neval=593{'avg': -271126.4096590502, 'max': 37322.87424497202, 'min': -274165.02731881547} best=-274165.02731881547
91: neval=586{'avg': -272545.07907942106, 'max': 10818.167130137932, 'min': -274165.02731881547} best=-274165.02731881547
92: neval=564{'avg': -272111.4114802504, 'max': -1890.6532354634, 'min': -274165.02731881547} best=-274165.02731881547
93: neval=601{'avg': -272570.5429391202, 'max': -26658.8624053327, 'min': -274165.02731881547} best=-274165.02731881547
94: neval=576{'avg': -272699.4744096322, 'max': 30886.642255785162, 'min': -274165.02731881547} best=-274165.02731881547
95: neval=590{'avg': -272895.7028678367, 'max': -50918.823278317825, 'min': -274165.02731881547} best=-274165.02731881547
96: neval=587{'avg': -272733.0108319502, 'max': -25210.009031161953, 'min': -274165.02731881547} best=-274165.02731881547
97: neval=600{'avg': -273402.68306624965, 'max': -33355.672354848466, 'min': -274165.02731881547} best=-274165.02731881547
98: neval=615{'avg': -272699.8244464199, 'max': -35238.19401450771, 'min': -274165.02731881547} best=-274165.02731881547
99: neval=591{'avg': -273033.6734125438, 'max': -38825.208210429104, 'min': -274919.8996904923} best=-274919.8996904923
100: neval=603{'avg': -272144.07862017327, 'max': 58846.26804404042, 'min': -275278.7804747504} best=-275278.7804747504
101: neval=601{'avg': -273384.0256143044, 'max': -35157.743428444315, 'min': -275278.7804747504} best=-275278.7804747504
102: neval=596{'avg': -273434.20417330036, 'max': -109716.57284730299, 'min': -275278.7804747504} best=-275278.7804747504
103: neval=599{'avg': -273762.1880778836, 'max': -44110.5051516348, 'min': -276033.6528464273} best=-276033.6528464273
104: neval=584{'avg': -274698.19653572363, 'max': -193456.9082385676, 'min': -276033.6528464273} best=-276033.6528464273
105: neval=586{'avg': -272724.4673863241, 'max': 45238.30149266661, 'min': -276033.6528464273} best=-276033.6528464273
106: neval=609{'avg': -273730.65648355795, 'max': 181005.72461165747, 'min': -276033.6528464273} best=-276033.6528464273
107: neval=582{'avg': -274368.8268366118, 'max': -116152.70108716271, 'min': -276033.6528464273} best=-276033.6528464273
108: neval=606{'avg': -274461.434727758, 'max': -65888.90748527221, 'min': -276033.6528464273} best=-276033.6528464273
109: neval=584{'avg': -275071.19580488186, 'max': -87278.05062876921, 'min': -276033.6528464273} best=-276033.6528464273
110: neval=600{'avg': -274781.80678424856, 'max': 142186.2042298524, 'min': -276033.6528464273} best=-276033.6528464273
