0  	0     	9.02832e+06	7.82742e+06	2.24586e+07
1  	400   	8.72073e+06	7.82742e+06	2.77345e+07
gen	nevals	avg        	min        	max        
0  	0     	9.13089e+06	7.82742e+06	2.77345e+07
1  	409   	8.84586e+06	7.82742e+06	2.96729e+07
gen	nevals	avg        	min        	max        
0  	0     	9.23141e+06	7.82742e+06	2.96729e+07
1  	405   	8.85435e+06	7.82742e+06	2.76132e+07
gen	nevals	avg        	min        	max        
0  	0     	9.23155e+06	7.82742e+06	2.76132e+07
1  	434   	8.64605e+06	7.82742e+06	3.18505e+07
gen	nevals	avg        	min        	max        
0  	0     	9.00187e+06	7.82742e+06	3.18505e+07
1  	423   	8.7583e+06 	7.82742e+06	2.54119e+07
gen	nevals	avg        	min        	max        
0  	0     	9.10794e+06	7.82742e+06	2.54119e+07
1  	445   	8.71142e+06	7.82742e+06	3.10987e+07
gen	nevals	avg        	min        	max        
0  	0     	9.07529e+06	7.82742e+06	3.10987e+07
1  	445   	8.80842e+06	7.82742e+06	2.49448e+07
gen	nevals	avg        	min        	max        
0  	0     	9.13076e+06	7.82742e+06	2.49448e+07
1  	471   	8.6549e+06 	7.82742e+06	2.36684e+07
gen	nevals	avg        	min        	max        
0  	0     	8.97018e+06	7.82742e+06	2.36684e+07
1  	490   	8.78022e+06	7.82742e+06	2.66706e+07
gen	nevals	avg        	min        	max        
0  	0     	9.09413e+06	7.82742e+06	2.66706e+07
1  	496   	8.47329e+06	7.82742e+06	2.57752e+07
gen	nevals	avg        	min        	max        
0  	0     	8.76803e+06	7.82742e+06	2.57752e+07
1  	524   	8.70547e+06	7.82742e+06	3.22812e+07
gen	nevals	avg        	min        	max        
0  	0     	9.02049e+06	7.82742e+06	3.22812e+07
1  	514   	inf        	7.82742e+06	inf        
gen	nevals	avg	min        	max
0  	0     	inf	7.82742e+06	inf
1  	522   	8.65996e+06	7.82742e+06	2.58422e+07
gen	nevals	avg        	min        	max        
0  	0     	8.94644e+06	7.82742e+06	2.58422e+07
1  	549   	8.62956e+06	7.82742e+06	2.54215e+07
gen	nevals	avg        	min        	max        
0  	0     	8.91264e+06	7.82742e+06	2.54215e+07
1  	561   	8.91275e+06	7.82742e+06	3.02202e+07
gen	nevals	avg        	min        	max        
0  	0     	9.19361e+06	7.82742e+06	3.02202e+07
1  	558   	8.67237e+06	7.82742e+06	3.00143e+07
gen	nevals	avg        	min        	max        
0  	0     	8.94795e+06	7.82742e+06	3.00143e+07
1  	583   	8.83176e+06	7.82742e+06	2.5947e+07 
gen	nevals	avg        	min        	max       
0  	0     	9.09803e+06	7.82742e+06	2.5947e+07
1  	609   	8.81401e+06	7.82742e+06	3.01007e+07
gen	nevals	avg        	min        	max        
0  	0     	9.08681e+06	7.82742e+06	3.01007e+07
1  	618   	8.82746e+06	7.82742e+06	3.13699e+07
gen	nevals	avg        	min        	max        
0  	0     	9.10597e+06	7.82742e+06	3.13699e+07
1  	606   	8.77394e+06	7.82742e+06	2.90952e+07
合計世代数＝42
