
Best Solution:
ごみ量20位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299)

施設数: 1
札幌市 (942456) → receive from: 夕張市, 岩見沢市, 美唄市, 芦別市, 赤平市, 三笠市, 滝川市, 砂川市, 歌志内市, 深川市, 南幌町, 奈井江町, 上砂川町, 由仁町, 長沼町, 栗山町, 月形町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 札幌市, 江別市, 千歳市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 室蘭市, 苫小牧市, 登別市, 伊達市, 豊浦町, 壮瞥町, 白老町, 厚真町, 洞爺湖町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 様似町, えりも町, 新ひだか町, 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 長万部町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 奥尻町, 今金町, せたな町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 南富良野町, 占冠村, 和寒町, 剣淵町, 下川町, 美深町, 音威子府村, 中川町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 浜頓別町, 中頓別町, 枝幸町, 豊富町, 礼文町, 利尻町, 利尻富士町, 幌延町, 北見市, 網走市, 紋別市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町, 大空町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 陸別町, 浦幌町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町

TC: {'札幌市': 3099479.0747100012}
IC: {'札幌市': 330376.6279775782}
OC: {'札幌市': 138335.26614418672}

Total cost: 3568190.968831766

実行時間= 7秒


------------------  施設数: 1  ------------------

個体数＝150
世代数＝70
gen	nevals	avg        	min        	max        
0  	150   	5.81769e+06	3.56819e+06	1.07563e+07
1  	133   	4.17562e+06	3.56819e+06	1.13564e+07
2  	118   	3.90183e+06	3.56819e+06	1.25125e+07
3  	125   	3.95611e+06	3.56819e+06	1.11713e+07
4  	125   	3.668e+06  	3.56819e+06	7.90865e+06
5  	133   	3.84796e+06	3.56819e+06	1.07162e+07
6  	125   	3.875e+06  	3.56819e+06	1.25125e+07
7  	119   	3.77371e+06	3.56819e+06	1.07162e+07
8  	126   	3.81249e+06	3.56819e+06	1.06298e+07
9  	132   	4.02452e+06	3.56819e+06	1.11713e+07
10 	130   	3.90444e+06	3.56819e+06	1.08984e+07
11 	132   	3.71373e+06	3.56819e+06	8.81201e+06
12 	130   	3.91548e+06	3.56819e+06	9.27837e+06
13 	133   	4.00115e+06	3.56819e+06	1.25125e+07
14 	127   	3.73732e+06	3.56819e+06	9.60941e+06
15 	132   	4.00248e+06	3.56819e+06	1.22667e+07
16 	136   	3.98431e+06	3.56819e+06	1.25125e+07
17 	126   	4.12156e+06	3.56819e+06	1.25125e+07
18 	132   	3.85887e+06	3.56819e+06	1.04621e+07
19 	122   	3.99144e+06	3.56819e+06	1.14313e+07
20 	126   	3.90369e+06	3.56819e+06	9.60941e+06
21 	134   	3.67825e+06	3.56819e+06	9.37347e+06
22 	125   	3.8754e+06 	3.56819e+06	1.13564e+07
23 	134   	4.03242e+06	3.56819e+06	1.25884e+07
24 	134   	3.85637e+06	3.56819e+06	1.11713e+07
25 	133   	3.93528e+06	3.56819e+06	1.2101e+07 
26 	133   	3.97525e+06	3.56819e+06	1.11713e+07
27 	123   	3.99829e+06	3.56819e+06	1.06298e+07
28 	134   	3.99024e+06	3.56819e+06	1.22667e+07
29 	128   	3.82534e+06	3.56819e+06	1.11713e+07
30 	125   	3.918e+06  	3.56819e+06	1.07162e+07
31 	120   	4.09514e+06	3.56819e+06	1.2101e+07 
32 	134   	3.94158e+06	3.56819e+06	1.14313e+07
33 	127   	3.83456e+06	3.56819e+06	1.06298e+07
34 	125   	4.02278e+06	3.56819e+06	1.2101e+07 
35 	131   	3.80128e+06	3.56819e+06	1.2101e+07 
36 	129   	3.74239e+06	3.56819e+06	1.22667e+07
37 	132   	3.86814e+06	3.56819e+06	1.25125e+07
38 	124   	3.75733e+06	3.56819e+06	1.25884e+07
39 	124   	3.86331e+06	3.56819e+06	1.02799e+07
40 	133   	4.00284e+06	3.56819e+06	1.11713e+07
41 	136   	3.71711e+06	3.56819e+06	8.40292e+06
42 	124   	4.06472e+06	3.56819e+06	1.25884e+07
43 	124   	3.89013e+06	3.56819e+06	1.06298e+07
44 	124   	3.80865e+06	3.56819e+06	9.4765e+06 
45 	133   	3.92031e+06	3.56819e+06	9.84199e+06
46 	122   	3.99868e+06	3.56819e+06	1.25884e+07
47 	116   	3.77031e+06	3.56819e+06	1.14313e+07
