
Best Solution:
ごみ量20位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299)

施設数: 6
札幌市 (455900) → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 寿都町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
苫小牧市 (124425) → receive from: 千歳市, 室蘭市, 苫小牧市, 登別市, 伊達市, 豊浦町, 壮瞥町, 白老町, 厚真町, 洞爺湖町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
旭川市 (115824) → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 音威子府村, 中川町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 浜頓別町, 中頓別町, 枝幸町, 豊富町, 礼文町, 利尻町, 利尻富士町, 幌延町, 紋別市, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町
釧路市 (92686) → receive from: 北見市, 網走市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 大空町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町
函館市 (90136) → receive from: 島牧村, 黒松内町, 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 長万部町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 奥尻町, 今金町, せたな町
帯広市 (63485) → receive from: 様似町, えりも町, 南富良野町, 占冠村, 訓子府町, 置戸町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 陸別町, 浦幌町

TC: {'札幌市': 110118.56417999999, '苫小牧市': 144536.67102, '旭川市': 151703.43489, '釧路市': 184372.83038999996, '函館市': 39078.45768000001, '帯広市': 27202.718790000003}
IC: {'札幌市': 159815.1051030265, '苫小牧市': 57186.039128624805, '旭川市': 54307.56905539424, '釧路市': 46246.49216906523, '函館市': 45325.56878233742, '帯広市': 35203.63279034292}
OC: {'札幌市': 66917.76362518221, '苫小牧市': 56334.55844093495, '旭川市': 56930.51135497701, '釧路市': 56736.3273906355, '函館市': 56536.28280428931, '帯広市': 51862.950323736724}

Total cost: 1400415.4779185464

実行時間= 14秒


------------------  施設数: 6  ------------------

個体数＝150
世代数＝70
gen	nevals	avg        	min        	max        
0  	150   	2.34825e+06	1.68003e+06	3.48081e+06
1  	131   	2.16168e+06	1.70419e+06	3.22465e+06
2  	128   	2.02356e+06	1.49516e+06	3.11168e+06
3  	130   	1.96531e+06	1.47596e+06	3.05337e+06
4  	126   	1.87301e+06	1.47596e+06	3.4437e+06 
5  	129   	1.87425e+06	1.42942e+06	3.40354e+06
6  	129   	1.86794e+06	1.42942e+06	3.52512e+06
7  	128   	1.78151e+06	1.42942e+06	3.44994e+06
8  	132   	1.69227e+06	1.42942e+06	2.57942e+06
9  	132   	1.63514e+06	1.42942e+06	3.50218e+06
10 	133   	1.59466e+06	1.40042e+06	3.43232e+06
11 	131   	1.56572e+06	1.40042e+06	3.60139e+06
12 	136   	1.6107e+06 	1.40042e+06	3.54256e+06
13 	133   	1.57013e+06	1.40042e+06	3.02725e+06
14 	128   	1.52129e+06	1.40042e+06	3.29658e+06
15 	134   	1.53658e+06	1.40042e+06	2.68905e+06
16 	119   	1.53916e+06	1.40042e+06	2.51534e+06
17 	135   	1.54817e+06	1.40042e+06	2.41507e+06
18 	138   	1.57223e+06	1.40042e+06	3.11186e+06
19 	131   	1.50878e+06	1.40042e+06	2.64572e+06
20 	130   	1.54161e+06	1.40042e+06	2.68912e+06
21 	131   	1.51472e+06	1.40042e+06	2.64137e+06
22 	128   	1.47517e+06	1.40042e+06	2.24584e+06
23 	134   	1.52135e+06	1.40042e+06	2.54511e+06
24 	131   	1.50125e+06	1.40042e+06	3.47877e+06
25 	133   	1.59213e+06	1.40042e+06	3.04902e+06
26 	130   	1.52989e+06	1.40042e+06	2.48523e+06
27 	133   	1.52332e+06	1.40042e+06	2.52538e+06
28 	119   	1.49351e+06	1.40042e+06	2.50416e+06
29 	124   	1.53576e+06	1.40042e+06	2.80814e+06
30 	132   	1.57368e+06	1.40042e+06	3.11349e+06
31 	130   	1.5567e+06 	1.40042e+06	2.84491e+06
32 	128   	1.55106e+06	1.40042e+06	2.62201e+06
33 	134   	1.50185e+06	1.40042e+06	2.4732e+06 
34 	137   	1.52877e+06	1.40042e+06	2.8459e+06 
35 	126   	1.51336e+06	1.40042e+06	2.91978e+06
36 	129   	1.53051e+06	1.40042e+06	2.47912e+06
37 	121   	1.52962e+06	1.40042e+06	2.68383e+06
38 	126   	1.51602e+06	1.40042e+06	2.71458e+06
39 	130   	1.61005e+06	1.40042e+06	2.66167e+06
40 	136   	1.53655e+06	1.40042e+06	2.85175e+06
41 	135   	1.53649e+06	1.40042e+06	2.6417e+06 
42 	135   	1.53111e+06	1.40042e+06	3.22465e+06
43 	116   	1.52206e+06	1.40042e+06	2.42052e+06
44 	128   	1.51678e+06	1.40042e+06	2.36332e+06
45 	130   	1.52417e+06	1.40042e+06	3.11349e+06
46 	121   	1.53739e+06	1.40042e+06	2.7222e+06 
47 	108   	1.5178e+06 	1.40042e+06	2.64225e+06
48 	128   	1.51352e+06	1.40042e+06	2.9642e+06 
49 	125   	1.5187e+06 	1.40042e+06	3.00365e+06
50 	125   	1.51218e+06	1.40042e+06	2.57469e+06
51 	122   	1.54715e+06	1.40042e+06	3.02725e+06
52 	126   	1.56681e+06	1.40042e+06	2.84521e+06
53 	130   	1.5423e+06 	1.40042e+06	2.65471e+06
54 	126   	1.57325e+06	1.40042e+06	3.47877e+06
55 	122   	1.5546e+06 	1.40042e+06	2.95491e+06
56 	122   	1.5555e+06 	1.40042e+06	3.5947e+06 
57 	131   	1.50676e+06	1.40042e+06	2.51761e+06
58 	128   	1.55605e+06	1.40042e+06	3.5947e+06 
59 	136   	1.50279e+06	1.40042e+06	2.43624e+06
60 	140   	1.51418e+06	1.40042e+06	2.5791e+06 
