82: neval=961{'avg': -4324502.786547096, 'max': -4036246.7729079896, 'min': -4325443.79359257} best=-4325443.79359257
83: neval=946{'avg': -4323685.395453109, 'max': -3714109.6792443786, 'min': -4325443.79359257} best=-4325443.79359257
84: neval=950{'avg': -4320263.923965733, 'max': -3288448.827239495, 'min': -4325443.79359257} best=-4325443.79359257
85: neval=925{'avg': -4322796.722008579, 'max': -3303240.9422054654, 'min': -4325443.79359257} best=-4325443.79359257
86: neval=942{'avg': -4324091.971337514, 'max': -3874967.837964876, 'min': -4325443.79359257} best=-4325443.79359257
87: neval=934{'avg': -4322273.925694152, 'max': -2834637.3131056433, 'min': -4325443.79359257} best=-4325443.79359257
88: neval=937{'avg': -4322258.8657108955, 'max': -3759815.3445640015, 'min': -4325443.79359257} best=-4325443.79359257
89: neval=934{'avg': -4322484.863761075, 'max': -3648677.239094112, 'min': -4325443.79359257} best=-4325443.79359257
90: neval=976{'avg': -4320194.483696584, 'max': -3303876.1480178307, 'min': -4325443.79359257} best=-4325443.79359257
91: neval=929{'avg': -4323666.196302872, 'max': -3898901.474476279, 'min': -4325443.79359257} best=-4325443.79359257
92: neval=969{'avg': -4321707.304917213, 'max': -2957648.9188069855, 'min': -4325443.79359257} best=-4325443.79359257
93: neval=959{'avg': -4322802.549362981, 'max': -3583150.692382923, 'min': -4325443.79359257} best=-4325443.79359257
94: neval=935{'avg': -4320324.555910593, 'max': -2860680.2452376042, 'min': -4325443.79359257} best=-4325443.79359257
95: neval=884{'avg': -4323111.45256004, 'max': -2988571.968096626, 'min': -4325443.79359257} best=-4325443.79359257
96: neval=947{'avg': -4324387.02654197, 'max': -3891794.128634563, 'min': -4325443.79359257} best=-4325443.79359257
97: neval=983{'avg': -4317558.731930363, 'max': -2762777.2662575557, 'min': -4325443.79359257} best=-4325443.79359257
98: neval=959{'avg': -4322764.476291544, 'max': -3743929.1772424453, 'min': -4325443.79359257} best=-4325443.79359257
99: neval=944{'avg': -4321550.1171510825, 'max': -3271001.1677344134, 'min': -4325443.79359257} best=-4325443.79359257
