84: neval=1047{'avg': -70409.99801194924, 'max': 290969.5659439372, 'min': -72476.64043370013} best=-72476.64043370013
85: neval=1060{'avg': -70318.75429996416, 'max': 273167.7883220471, 'min': -72476.64043370013} best=-72476.64043370013
86: neval=1053{'avg': -70792.41648165118, 'max': 284012.37868142646, 'min': -72476.64043370013} best=-72476.64043370013
87: neval=1052{'avg': -70044.66092104762, 'max': 309625.2836545419, 'min': -72476.64043370013} best=-72476.64043370013
88: neval=1080{'avg': -69613.285954304, 'max': 312625.79421625513, 'min': -72476.64043370013} best=-72476.64043370013
89: neval=1079{'avg': -70611.5388010932, 'max': 395148.64017391315, 'min': -72476.64043370013} best=-72476.64043370013
90: neval=1063{'avg': -70182.59134008652, 'max': 317835.2363554784, 'min': -72476.64043370013} best=-72476.64043370013
91: neval=1053{'avg': -71796.85453349963, 'max': 202972.57233554497, 'min': -72476.64043370013} best=-72476.64043370013
92: neval=1031{'avg': -70977.37089129684, 'max': 261313.45438956522, 'min': -72476.64043370013} best=-72476.64043370013
93: neval=1074{'avg': -70426.8357756683, 'max': 267946.0830700036, 'min': -72476.64043370013} best=-72476.64043370013
94: neval=1097{'avg': -69430.14327124582, 'max': 320701.9875107592, 'min': -72476.64043370013} best=-72476.64043370013
95: neval=1072{'avg': -70485.60513991847, 'max': 252076.71104081906, 'min': -72476.64043370013} best=-72476.64043370013
96: neval=1063{'avg': -71436.5028988163, 'max': 308675.30698414135, 'min': -72476.64043370013} best=-72476.64043370013
97: neval=1068{'avg': -71282.14387967419, 'max': 457228.4914377957, 'min': -72476.64043370013} best=-72476.64043370013
98: neval=1049{'avg': -70586.79142156294, 'max': 293992.9291483365, 'min': -72476.64043370013} best=-72476.64043370013
99: neval=1061{'avg': -69140.92347028671, 'max': 294792.2163717432, 'min': -72476.64043370013} best=-72476.64043370013


----------------------  最適個体  ----------------------

best_individual.inc_facility = [24, 87, 120, 113, 115, 116, 117, 118, 108, 138, 121, 119, 123, 124, 127, 139, 140, 141, 162]
best_individual.trans_facility = [88, 52, 53, 56, 16, 70, 129, 143]
best_individual.unused_cities = {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 109, 110, 111, 112, 114, 122, 125, 126, 128, 130, 131, 132, 133, 134, 135, 136, 137, 142, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174}
best_individual.fitness.values = (-79585.1962222891,)
