
Best Solution:
ごみ量20位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299)

施設数: 2
札幌市 (775145) → receive from: 夕張市, 岩見沢市, 美唄市, 芦別市, 赤平市, 三笠市, 滝川市, 砂川市, 歌志内市, 深川市, 南幌町, 奈井江町, 上砂川町, 由仁町, 長沼町, 栗山町, 月形町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 札幌市, 江別市, 千歳市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 室蘭市, 苫小牧市, 登別市, 伊達市, 豊浦町, 壮瞥町, 白老町, 厚真町, 洞爺湖町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 新ひだか町, 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 長万部町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 奥尻町, 今金町, せたな町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 東川町, 美瑛町, 上富良野町, 中富良野町, 占冠村, 和寒町, 剣淵町, 美深町, 音威子府村, 中川町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 中頓別町, 豊富町, 礼文町, 利尻町, 利尻富士町, 幌延町
本別町 (167311) → receive from: 浦河町, 様似町, えりも町, 愛別町, 上川町, 南富良野町, 下川町, 猿払村, 浜頓別町, 枝幸町, 北見市, 網走市, 紋別市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町, 大空町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 陸別町, 浦幌町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町

TC: {'札幌市': 1736997.7894500003, '本別町': 459658.41851999995}
IC: {'札幌市': 271725.99176373205, '本別町': 70798.2890989703}
OC: {'札幌市': 113777.0780549284, '本別町': 48935.47486116757}

Total cost: 2701893.0417487985

実行時間= 7秒


------------------  施設数: 2  ------------------

個体数＝150
世代数＝70
gen	nevals	avg        	min        	max        
0  	150   	4.12269e+06	2.75942e+06	9.23795e+06
1  	122   	3.44882e+06	2.75285e+06	6.10502e+06
2  	137   	3.33427e+06	2.75285e+06	8.57093e+06
3  	127   	3.19847e+06	2.75285e+06	1.04671e+07
4  	129   	3.29242e+06	2.7381e+06 	7.54812e+06
5  	130   	2.92463e+06	2.7367e+06 	6.04055e+06
6  	122   	3.0316e+06 	2.7367e+06 	7.04486e+06
7  	128   	3.06982e+06	2.7367e+06 	8.0962e+06 
8  	130   	3.09484e+06	2.7367e+06 	7.55561e+06
9  	124   	2.94871e+06	2.7367e+06 	6.44718e+06
10 	130   	2.93164e+06	2.7367e+06 	6.3837e+06 
11 	130   	3.02348e+06	2.7367e+06 	6.40362e+06
12 	124   	2.99835e+06	2.7367e+06 	9.73312e+06
13 	128   	2.92836e+06	2.7367e+06 	7.14458e+06
14 	127   	2.94053e+06	2.7367e+06 	6.75861e+06
15 	123   	2.94486e+06	2.72237e+06	6.19347e+06
16 	115   	3.04395e+06	2.72237e+06	6.50141e+06
17 	133   	3.08808e+06	2.72237e+06	7.79596e+06
18 	137   	3.01766e+06	2.72237e+06	8.59704e+06
19 	127   	2.86749e+06	2.72237e+06	7.06929e+06
20 	126   	2.93985e+06	2.72237e+06	7.81565e+06
21 	124   	2.95005e+06	2.72237e+06	7.15047e+06
22 	125   	2.97617e+06	2.72237e+06	7.05643e+06
23 	126   	2.91595e+06	2.70189e+06	7.09508e+06
24 	133   	2.87233e+06	2.70189e+06	7.08331e+06
25 	128   	2.90826e+06	2.70189e+06	8.23099e+06
26 	138   	2.97653e+06	2.70189e+06	7.1522e+06 
27 	124   	2.90672e+06	2.70189e+06	7.06925e+06
28 	134   	3.14538e+06	2.70189e+06	8.43347e+06
29 	126   	2.95301e+06	2.70189e+06	8.57569e+06
30 	128   	2.95911e+06	2.70189e+06	6.91634e+06
31 	136   	2.92718e+06	2.70189e+06	6.69616e+06
32 	130   	2.83942e+06	2.70189e+06	5.67439e+06
33 	130   	2.87469e+06	2.70189e+06	6.91634e+06
34 	134   	2.93142e+06	2.70189e+06	6.9744e+06 
35 	135   	2.82003e+06	2.70189e+06	7.36319e+06
36 	118   	2.94954e+06	2.70189e+06	8.92627e+06
37 	125   	3.01261e+06	2.70189e+06	6.88042e+06
38 	132   	3.09903e+06	2.70189e+06	7.76608e+06
39 	131   	3.00671e+06	2.70189e+06	8.34387e+06
40 	124   	2.86632e+06	2.70189e+06	1.05472e+07
41 	135   	2.89785e+06	2.70189e+06	6.83956e+06
42 	133   	2.89475e+06	2.70189e+06	6.88421e+06
43 	131   	2.93976e+06	2.70189e+06	7.63726e+06
44 	122   	2.96817e+06	2.70189e+06	6.88962e+06
45 	131   	2.91002e+06	2.70189e+06	6.86916e+06
46 	124   	2.97326e+06	2.70189e+06	6.88962e+06
47 	121   	2.95891e+06	2.70189e+06	6.88042e+06
48 	126   	2.95376e+06	2.70189e+06	6.88962e+06
49 	126   	2.93997e+06	2.70189e+06	6.93975e+06
50 	137   	3.09548e+06	2.70189e+06	6.91634e+06
51 	124   	3.0521e+06 	2.70189e+06	6.84099e+06
52 	127   	2.94648e+06	2.70189e+06	7.08687e+06
53 	136   	3.09275e+06	2.70189e+06	9.67626e+06
54 	129   	2.96784e+06	2.70189e+06	8.11959e+06
55 	123   	3.00723e+06	2.70189e+06	7.34983e+06
56 	130   	2.99842e+06	2.70189e+06	6.90674e+06
57 	122   	2.99239e+06	2.70189e+06	7.03722e+06
58 	119   	3.12031e+06	2.70189e+06	8.57267e+06
59 	133   	2.98964e+06	2.70189e+06	8.54058e+06
60 	118   	3.0003e+06 	2.70189e+06	7.87659e+06
61 	138   	2.98261e+06	2.70189e+06	6.82939e+06
62 	132   	2.90954e+06	2.70189e+06	6.69616e+06
63 	129   	2.996e+06  	2.70189e+06	6.88421e+06
64 	118   	2.81011e+06	2.70189e+06	6.80999e+06
65 	129   	2.94158e+06	2.70189e+06	7.15047e+06
66 	131   	2.98187e+06	2.70189e+06	7.21497e+06
67 	119   	2.90566e+06	2.70189e+06	8.58443e+06
68 	136   	3.00314e+06	2.70189e+06	6.88421e+06
69 	126   	2.92733e+06	2.70189e+06	8.44632e+06
70 	123   	2.9904e+06 	2.70189e+06	6.93975e+06
