
Best Solution:
ごみ量20位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299)

施設数: 20
札幌市 (455324) → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 喜茂別町, 京極町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
旭川市 (97811) → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 西興部村
函館市 (89082) → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 奥尻町, 今金町, せたな町
苫小牧市 (81857) → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
帯広市 (62659) → receive from: 様似町, えりも町, 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町
室蘭市 (44198) → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 俱知安町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 長万部町
釧路市 (42425) → receive from: 釧路市, 釧路町
北見市 (39333) → receive from: 北見市, 網走市, 紋別市, 美幌町, 津別町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 雄武町, 大空町, 陸別町
稚内市 (10799) → receive from: 音威子府村, 中川町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 浜頓別町, 中頓別町, 枝幸町, 豊富町, 礼文町, 利尻町, 利尻富士町, 幌延町
中標津町 (4837) → receive from: 中標津町
根室市 (4736) → receive from: 根室市
弟子屈町 (2280) → receive from: 清里町, 小清水町, 弟子屈町
別海町 (1994) → receive from: 別海町
厚岸町 (1237) → receive from: 厚岸町
標茶町 (1021) → receive from: 標茶町
白糖町 (854) → receive from: 浦幌町, 白糖町
浜中町 (692) → receive from: 浜中町
標津町 (553) → receive from: 斜里町, 標津町
鶴居村 (422) → receive from: 鶴居村
羅臼町 (342) → receive from: 羅臼町

TC: {'札幌市': 107750.56481999999, '旭川市': 46390.299869999995, '函館市': 35008.78791, '苫小牧市': 48106.58742, '帯広市': 24968.18772, '室蘭市': 20651.749350000002, '釧路市': 1080.2508, '北見市': 29489.72466, '稚内市': 9886.457279999999, '中標津町': 0.0, '根室市': 0.0, '弟子屈町': 1331.81589, '別海町': 0.0, '厚岸町': 0.0, '標茶町': 0.0, '白糖町': 411.6988799999999, '浜中町': 0.0, '標津町': 0.0, '鶴居村': 0.0, '羅臼町': 0.0}
IC: {'札幌市': 159613.1891114947, '旭川市': 48076.31066532725, '函館市': 44942.80374112252, '苫小牧市': 42283.88188243283, '帯広市': 34872.788526504526, '室蘭市': 27114.20586589729, '釧路市': 26325.519878458686, '北見市': 24927.656462197945, '稚内市': 9815.922821275713, '中標津町': 5500.991335066552, '根室市': 5417.930541524224, '弟子屈町': 3198.3988936464984, '別海町': 2903.7781826402975, '厚岸町': 2058.0700625381414, '標茶町': 1792.1285639005334, '白糖町': 1575.5882254868814, '浜中町': 1353.8735258438005, '標津町': 1151.7717482333976, '鶴居村': 947.789469241571, '羅臼町': 814.5062559483367}
OC: {'札幌市': 66833.21738291832, '旭川市': 57024.56046545789, '函館市': 56442.255725112984, '苫小牧市': 55611.63687040698, '帯広市': 51632.27455652261, '室蘭市': 44768.76962017755, '釧路市': 43912.91209525032, '北見市': 42323.343602497655, '稚内市': 19174.56440623127, '中標津町': 10691.0111861331, '根室市': 10521.861772837408, '弟子屈町': 5967.452073571938, '別海町': 5363.545101411291, '厚岸町': 3646.972822380577, '標茶町': 3116.1938759600584, '白糖町': 2689.0424795711215, '浜中町': 2257.719565776365, '標津町': 1871.325841626231, '鶴居村': 1489.7729153006783, '羅臼町': 1246.2565078863124}

Total cost: 1256347.9192258124

実行時間= 27秒


------------------  施設数: 20  ------------------

個体数＝150
世代数＝70
gen	nevals	avg        	min        	max        
0  	150   	1.40054e+06	1.40054e+06	1.40054e+06
1  	127   	1.54833e+06	1.35751e+06	2.03498e+06
2  	135   	1.5447e+06 	1.30142e+06	2.09832e+06
3  	132   	1.54709e+06	1.32887e+06	2.10053e+06
4  	132   	1.55394e+06	1.29847e+06	2.4818e+06 
5  	124   	1.56228e+06	1.29847e+06	2.63377e+06
6  	129   	1.53552e+06	1.29847e+06	2.23367e+06
7  	136   	1.52687e+06	1.30043e+06	2.15712e+06
8  	127   	1.53202e+06	1.2969e+06 	2.3336e+06 
9  	137   	1.51993e+06	1.2962e+06 	2.53396e+06
10 	133   	1.45666e+06	1.27996e+06	2.27698e+06
11 	128   	1.4763e+06 	1.27996e+06	2.49852e+06
12 	126   	1.46427e+06	1.26617e+06	2.48854e+06
13 	125   	1.44965e+06	1.26617e+06	2.26495e+06
14 	117   	1.44517e+06	1.26617e+06	3.08867e+06
15 	128   	1.45554e+06	1.2654e+06 	2.33028e+06
16 	136   	1.45017e+06	1.2654e+06 	2.78125e+06
17 	126   	1.47112e+06	1.25635e+06	3.0789e+06 
18 	130   	1.43545e+06	1.25635e+06	2.63134e+06
19 	124   	1.4516e+06 	1.25635e+06	2.85804e+06
20 	135   	1.4651e+06 	1.25635e+06	2.94192e+06
21 	135   	1.44569e+06	1.25635e+06	2.94068e+06
22 	137   	1.41487e+06	1.25635e+06	3.17869e+06
23 	137   	1.41985e+06	1.25635e+06	2.53275e+06
24 	118   	1.38096e+06	1.25635e+06	2.44911e+06
25 	128   	1.43085e+06	1.25635e+06	2.86174e+06
26 	136   	1.43353e+06	1.25635e+06	2.75461e+06
27 	131   	1.40329e+06	1.25635e+06	2.77626e+06
28 	127   	1.39878e+06	1.25635e+06	2.21703e+06
29 	126   	1.43399e+06	1.25635e+06	3.07072e+06
30 	132   	1.44127e+06	1.25635e+06	3.10203e+06
31 	118   	1.3709e+06 	1.25635e+06	2.30714e+06
32 	122   	1.42281e+06	1.25635e+06	2.66835e+06
33 	134   	1.41481e+06	1.25635e+06	2.60206e+06
34 	129   	1.44643e+06	1.25635e+06	3.11764e+06
35 	136   	1.46606e+06	1.25635e+06	3.18046e+06
36 	135   	1.44129e+06	1.25635e+06	2.89725e+06
37 	132   	1.4055e+06 	1.25635e+06	2.59073e+06
38 	128   	1.40692e+06	1.25635e+06	2.51269e+06
39 	126   	1.40613e+06	1.25635e+06	2.89416e+06
40 	131   	1.35775e+06	1.25635e+06	2.53201e+06
41 	140   	1.40359e+06	1.25635e+06	3.0178e+06 
42 	138   	1.37405e+06	1.25635e+06	2.51565e+06
43 	122   	1.35616e+06	1.25635e+06	2.57054e+06
44 	128   	1.38672e+06	1.25635e+06	2.5825e+06 
45 	134   	1.40374e+06	1.25635e+06	2.69971e+06
46 	122   	1.40872e+06	1.25635e+06	2.73477e+06
47 	130   	1.39129e+06	1.25635e+06	2.56569e+06
48 	132   	1.42599e+06	1.25635e+06	3.00082e+06
49 	131   	1.37758e+06	1.25635e+06	3.37643e+06
50 	127   	1.37098e+06	1.25635e+06	2.65884e+06
51 	128   	1.3721e+06 	1.25635e+06	2.76218e+06
52 	131   	1.40018e+06	1.25635e+06	2.68246e+06
53 	116   	1.39102e+06	1.25635e+06	3.08805e+06
54 	127   	1.3968e+06 	1.25635e+06	2.5901e+06 
55 	141   	1.37416e+06	1.25635e+06	3.01629e+06
56 	130   	1.39646e+06	1.25635e+06	2.88026e+06
57 	139   	1.39981e+06	1.25635e+06	2.63762e+06
58 	132   	1.38625e+06	1.25635e+06	2.87263e+06
59 	136   	1.41469e+06	1.25635e+06	2.79172e+06
60 	123   	1.40717e+06	1.25635e+06	2.90594e+06
61 	134   	1.39136e+06	1.25635e+06	2.52708e+06
62 	136   	1.39581e+06	1.25635e+06	3.20669e+06
63 	132   	1.36265e+06	1.25635e+06	3.12173e+06
64 	136   	1.37402e+06	1.25635e+06	3.52832e+06
65 	136   	1.36402e+06	1.25635e+06	3.0689e+06 
66 	135   	1.38449e+06	1.25635e+06	2.71937e+06
67 	126   	1.4211e+06 	1.25635e+06	3.02222e+06
68 	127   	1.38347e+06	1.25635e+06	2.46624e+06
69 	134   	1.37946e+06	1.25635e+06	2.63729e+06
70 	127   	1.42781e+06	1.25635e+06	2.84616e+06
