----------------------  実行情報  ----------------------
実行時間＝245秒
個体数＝500
合計世代数＝202
=============================
Total cost: 1236016.234846401
=============================
------------------------  前提  ------------------------

waste=kanen

ごみ量20位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299)

焼却施設数: 10
中継施設数: 0

輸送単価＝ 300 円/t/km
--------------------  GAPlot_input  --------------------

waste =kanen

inc_size= [455324, 97811, 88709, 81857, 62985, 45633, 44198, 40276, 14491, 9812]

inc_facility = ['札幌市', '旭川市', '函館市', '苫小牧市', '帯広市', '釧路市', '室蘭市', '北見市', '別海町', '稚内市']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '喜茂別町', '京極町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '俱知安町', '室蘭市', '登別市', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '長万部町'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '八雲町', '江差町', '上ノ国町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '美深町', '幌加内町', '留萌市', '増毛町', '小平町', '苫前町', '西興部村'], ['音威子府村', '中川町', '羽幌町', '初山別村', '遠別町', '天塩町', '稚内市', '猿払村', '浜頓別町', '中頓別町', '枝幸町', '豊富町', '幌延町'], ['北見市', '網走市', '紋別市', '美幌町', '津別町', '清里町', '斜里町', '小清水町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '滝上町', '興部町', '雄武町', '大空町', '陸別町'], ['様似町', 'えりも町', '南富良野町', '占冠村', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '厚岸町', '標茶町', '鶴居村', '白糖町'], ['浜中町', '弟子屈町', '根室市', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size = []
trans_facility = []
trans_blocks = []

arrows = []


---------------------  コスト情報  ---------------------

TC_direct: {'札幌市': 107750.56481999999, '旭川市': 46390.299869999995, '函館市': 33495.620160000006, '苫小牧市': 48106.58742, '帯広市': 25443.31968, '釧路市': 5221.74414, '室蘭市': 20651.749350000002, '北見市': 31307.94792, '別海町': 16280.882190000002, '稚内市': 8092.23768}
IC_inc: {'札幌市': 159613.1891114947, '旭川市': 48076.31066532725, '函館市': 44807.04482740549, '苫小牧市': 42283.88188243283, '帯広市': 35003.50835214785, '釧路市': 27746.089065790613, '室蘭市': 27114.20586589729, '北見市': 25357.124756538607, '別海町': 12134.266162326361, '稚内市': 9160.491748768593}
OC_inc: {'札幌市': 66833.21738291832, '旭川市': 57024.56046545789, '函館市': 56407.36772522112, '苫小牧市': 55611.63687040698, '帯広市': 51724.01573343067, '釧路市': 45433.20587338103, '室蘭市': 44768.76962017755, '北見市': 42821.615360375356, '別海町': 23423.746010393308, '稚内市': 17931.034136509057}

TC_indirect: {}
IC_trans: {}
OC_trans: {}


----------------------  輸送情報  ----------------------

direct 札幌市(1247/1247) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 喜茂別町, 京極町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 旭川市(268/268) t/day → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 西興部村
direct 函館市(243/243) t/day → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 今金町, せたな町
direct 苫小牧市(224/224) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
direct 帯広市(173/173) t/day → receive from: 様似町, えりも町, 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
direct 釧路市(125/125) t/day → receive from: 釧路市, 釧路町, 厚岸町, 標茶町, 鶴居村, 白糖町
direct 室蘭市(121/121) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 俱知安町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 長万部町
direct 北見市(110/110) t/day → receive from: 北見市, 網走市, 紋別市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 雄武町, 大空町, 陸別町
direct 別海町(40/40) t/day → receive from: 浜中町, 弟子屈町, 根室市, 別海町, 中標津町, 標津町, 羅臼町
direct 稚内市(27/27) t/day → receive from: 音威子府村, 中川町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 浜頓別町, 中頓別町, 枝幸町, 豊富町, 幌延町

----------------------  遺伝情報  ----------------------

個体数＝500
世代数＝1000
0: neval=500{'avg': 1663070.1830969015, 'max': 2168460.359982137, 'min': 1298905.7899188157} best=1298905.7899188157
1: neval=406{'avg': 1528668.0512276178, 'max': 1886952.9368996527, 'min': 1295892.4189209759} best=1295892.4189209759
2: neval=391{'avg': 1444922.0992097012, 'max': 1901795.1944097145, 'min': 1265267.450924164} best=1265267.450924164
3: neval=416{'avg': 1365441.58722737, 'max': 1742566.701826307, 'min': 1246375.5434907686} best=1246375.5434907686
4: neval=391{'avg': 1322122.424273484, 'max': 1620872.3404353727, 'min': 1256493.517444708} best=1246375.5434907686
5: neval=403{'avg': 1299926.1050682587, 'max': 1636098.044809742, 'min': 1247516.9290835387} best=1246375.5434907686
6: neval=405{'avg': 1284836.9261340222, 'max': 1684335.7097969926, 'min': 1247516.9290835387} best=1246375.5434907686
7: neval=374{'avg': 1269259.7185093632, 'max': 1705345.35671322, 'min': 1245593.0828575334} best=1245593.0828575334
8: neval=387{'avg': 1261213.9507279473, 'max': 1733710.7375339079, 'min': 1242621.6392597652} best=1242621.6392597652
9: neval=390{'avg': 1255477.151024913, 'max': 1785034.3851272184, 'min': 1242621.6392597652} best=1242621.6392597652
10: neval=403{'avg': 1250576.905194617, 'max': 1486990.6478032328, 'min': 1242621.6392597652} best=1242621.6392597652
11: neval=388{'avg': 1246578.3855373792, 'max': 1301726.1981513463, 'min': 1242621.6392597652} best=1242621.6392597652
12: neval=397{'avg': 1246746.3742125076, 'max': 1543002.892822384, 'min': 1242621.6392597652} best=1242621.6392597652
13: neval=418{'avg': 1245881.8880052266, 'max': 1473557.2433323727, 'min': 1242621.6392597652} best=1242621.6392597652
14: neval=411{'avg': 1244639.618254337, 'max': 1398263.254692387, 'min': 1242621.6392597652} best=1242621.6392597652
15: neval=403{'avg': 1244101.3183385583, 'max': 1586108.1493629606, 'min': 1242621.6392597652} best=1242621.6392597652
16: neval=397{'avg': 1243530.1516946598, 'max': 1491146.8194152007, 'min': 1242621.6392597652} best=1242621.6392597652
17: neval=411{'avg': 1244262.9479068671, 'max': 1609981.635704052, 'min': 1242621.6392597652} best=1242621.6392597652
18: neval=424{'avg': 1244242.6642029095, 'max': 1546322.913482303, 'min': 1241035.5007260493} best=1241035.5007260493
19: neval=401{'avg': 1245690.472100048, 'max': 1653417.4996159435, 'min': 1241035.5007260493} best=1241035.5007260493
20: neval=381{'avg': 1242836.84643153, 'max': 1445393.5371651568, 'min': 1241035.5007260493} best=1241035.5007260493
21: neval=420{'avg': 1244135.558552638, 'max': 1532012.6595091312, 'min': 1241035.5007260493} best=1241035.5007260493
22: neval=395{'avg': 1242763.5520921736, 'max': 1478039.1248975939, 'min': 1241035.5007260493} best=1241035.5007260493
23: neval=412{'avg': 1242935.8791737808, 'max': 1549657.67212052, 'min': 1241035.5007260493} best=1241035.5007260493
24: neval=395{'avg': 1243690.349079957, 'max': 1610110.7658174965, 'min': 1241035.5007260493} best=1241035.5007260493
25: neval=392{'avg': 1241097.6532644888, 'max': 1270525.631412061, 'min': 1241035.5007260493} best=1241035.5007260493
26: neval=412{'avg': 1241557.8408645382, 'max': 1439920.1110660187, 'min': 1241000.8588520484} best=1241000.8588520484
27: neval=407{'avg': 1243314.7282640797, 'max': 1595735.7551970256, 'min': 1241000.8588520484} best=1241000.8588520484
28: neval=414{'avg': 1241629.6278488222, 'max': 1418239.0522775366, 'min': 1241000.8588520484} best=1241000.8588520484
29: neval=395{'avg': 1242754.6387362755, 'max': 1693161.1259699797, 'min': 1241000.8588520484} best=1241000.8588520484
30: neval=376{'avg': 1242217.5496586205, 'max': 1516421.6160412235, 'min': 1241000.8588520484} best=1241000.8588520484
31: neval=391{'avg': 1242763.3801160627, 'max': 1477349.9254989985, 'min': 1240186.0218268572} best=1240186.0218268572
32: neval=417{'avg': 1242084.022111991, 'max': 1433146.8943564808, 'min': 1236775.836327097} best=1236775.836327097
33: neval=377{'avg': 1241428.009431849, 'max': 1428981.963320509, 'min': 1236775.836327097} best=1236775.836327097
34: neval=386{'avg': 1241625.8688668206, 'max': 1625364.4347308078, 'min': 1236775.836327097} best=1236775.836327097
35: neval=413{'avg': 1241058.1601934396, 'max': 1547289.240743088, 'min': 1236775.836327097} best=1236775.836327097
36: neval=394{'avg': 1240531.472918903, 'max': 2294337.9881466725, 'min': 1236775.836327097} best=1236775.836327097
37: neval=402{'avg': 1239309.0033581324, 'max': 1921497.1890265297, 'min': 1236775.836327097} best=1236775.836327097
38: neval=408{'avg': 1237259.9921102794, 'max': 1370125.5113312046, 'min': 1236775.836327097} best=1236775.836327097
39: neval=398{'avg': 1239458.2583015922, 'max': 1748037.0909492571, 'min': 1236775.836327097} best=1236775.836327097
40: neval=401{'avg': 1238234.9037601603, 'max': 1390329.5494407783, 'min': 1236775.836327097} best=1236775.836327097
41: neval=399{'avg': 1239257.1129284697, 'max': 1549954.6919499463, 'min': 1236775.836327097} best=1236775.836327097
42: neval=382{'avg': 1238845.1844678987, 'max': 1535535.511141557, 'min': 1236775.836327097} best=1236775.836327097
43: neval=392{'avg': 1237040.9177792328, 'max': 1369316.56239503, 'min': 1236775.836327097} best=1236775.836327097
44: neval=389{'avg': 1239438.8658529844, 'max': 1857480.338078164, 'min': 1236775.836327097} best=1236775.836327097
45: neval=394{'avg': 1237372.7490605703, 'max': 1354461.7170944074, 'min': 1236775.836327097} best=1236775.836327097
46: neval=402{'avg': 1240324.4591275277, 'max': 1639469.5954752604, 'min': 1236775.836327097} best=1236775.836327097
47: neval=382{'avg': 1238451.609770595, 'max': 1560212.0016382486, 'min': 1236775.836327097} best=1236775.836327097
48: neval=383{'avg': 1239349.897245297, 'max': 1687243.4142011765, 'min': 1236775.836327097} best=1236775.836327097
49: neval=404{'avg': 1239940.298846671, 'max': 2141464.712592048, 'min': 1236775.836327097} best=1236775.836327097
50: neval=387{'avg': 1238796.9441881848, 'max': 1585227.8211333076, 'min': 1236775.836327097} best=1236775.836327097
51: neval=365{'avg': 1236846.0879217882, 'max': 1271901.6336728542, 'min': 1236775.836327097} best=1236775.836327097
52: neval=390{'avg': 1241741.28089419, 'max': 1886005.0537622985, 'min': 1236775.836327097} best=1236775.836327097
53: neval=390{'avg': 1237896.7858299676, 'max': 1414252.7572150058, 'min': 1236775.836327097} best=1236775.836327097
54: neval=382{'avg': 1239653.4034296412, 'max': 2060963.5809319858, 'min': 1236775.836327097} best=1236775.836327097
55: neval=373{'avg': 1239157.0478873847, 'max': 1809788.5040985341, 'min': 1236775.836327097} best=1236775.836327097
56: neval=410{'avg': 1238040.8518974758, 'max': 1690524.2318497633, 'min': 1236775.836327097} best=1236775.836327097
57: neval=398{'avg': 1238013.1356488436, 'max': 1508119.4477096726, 'min': 1236775.836327097} best=1236775.836327097
58: neval=396{'avg': 1237007.6082992745, 'max': 1352661.822415967, 'min': 1236775.836327097} best=1236775.836327097
59: neval=382{'avg': 1238006.1430449022, 'max': 1691841.400846856, 'min': 1236775.836327097} best=1236775.836327097
