----------------------  実行情報  ----------------------
実行時間＝85秒
個体数＝250
合計世代数＝91
==============================
Total cost: -8633.091391667956
==============================
------------------------  前提  ------------------------

waste=kanen

ごみ量15位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341)

焼却施設数: 5
中継施設数: 0

輸送単価＝ 4.8 円/t/km
--------------------  GAPlot_input  --------------------

waste =kanen

inc_size= [684022, 167311, 86096, 2311, 1356]

inc_facility = ['札幌市', '本別町', '函館市', '松前町', '福島町']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '芦別市', '赤平市', '三笠市', '滝川市', '砂川市', '歌志内市', '深川市', '南幌町', '奈井江町', '上砂川町', '由仁町', '長沼町', '栗山町', '月形町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '札幌市', '江別市', '千歳市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '寿都町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村', '室蘭市', '苫小牧市', '登別市', '伊達市', '豊浦町', '壮瞥町', '白老町', '厚真町', '洞爺湖町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '新ひだか町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '東川町', '美瑛町', '上富良野町', '中富良野町', '占冠村', '和寒町', '剣淵町', '美深町', '音威子府村', '中川町', '幌加内町', '留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '初山別村', '遠別町', '天塩町', '稚内市', '中頓別町', '豊富町', '幌延町'], ['島牧村', '黒松内町', '函館市', '北斗市', '七飯町', '鹿部町', '森町', '八雲町', '長万部町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['松前町', '江差町', '上ノ国町'], ['福島町', '知内町', '木古内町'], ['浦河町', '様似町', 'えりも町', '愛別町', '上川町', '南富良野町', '下川町', '猿払村', '浜頓別町', '枝幸町', '北見市', '網走市', '紋別市', '美幌町', '津別町', '清里町', '斜里町', '小清水町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '滝上町', '興部町', '西興部村', '雄武町', '大空町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '陸別町', '浦幌町', '釧路市', '釧路町', '厚岸町', '浜中町', '標茶町', '弟子屈町', '鶴居村', '白糖町', '根室市', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size = []
trans_facility = []
trans_blocks = []

arrows = []


---------------------  コスト情報  ---------------------
[366303.56553645857, 0, -374936.6569281265, 0]

EL_direct: {'札幌市': 237025.4931720001, '本別町': 120341.12762641664, '函館市': 7858.173705416668, '松前町': 833.3328247291668, '福島町': 245.4382078958334}
ED_inc: {'札幌市': -464062.7393535185, '本別町': 28310.668875100208, '函館市': 50015.953011153746, '松前町': 6523.647287530638, '福島町': 4275.813251607425}

EL_indirect: {}
ED_trans: {}

----------------------  輸送情報  ----------------------

direct 札幌市(1874/1874) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 芦別市, 赤平市, 三笠市, 滝川市, 砂川市, 歌志内市, 深川市, 南幌町, 奈井江町, 上砂川町, 由仁町, 長沼町, 栗山町, 月形町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 札幌市, 江別市, 千歳市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 寿都町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 室蘭市, 苫小牧市, 登別市, 伊達市, 豊浦町, 壮瞥町, 白老町, 厚真町, 洞爺湖町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 新ひだか町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 東川町, 美瑛町, 上富良野町, 中富良野町, 占冠村, 和寒町, 剣淵町, 美深町, 音威子府村, 中川町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 中頓別町, 豊富町, 幌延町
direct 本別町(458/458) t/day → receive from: 浦河町, 様似町, えりも町, 愛別町, 上川町, 南富良野町, 下川町, 猿払村, 浜頓別町, 枝幸町, 北見市, 網走市, 紋別市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町, 大空町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 陸別町, 浦幌町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町
direct 函館市(236/236) t/day → receive from: 島牧村, 黒松内町, 函館市, 北斗市, 七飯町, 鹿部町, 森町, 八雲町, 長万部町, 厚沢部町, 乙部町, 今金町, せたな町
direct 松前町(6/6) t/day → receive from: 松前町, 江差町, 上ノ国町
direct 福島町(4/4) t/day → receive from: 福島町, 知内町, 木古内町

----------------------  遺伝情報  ----------------------

個体数＝250
世代数＝100
0: neval=250{'avg': 261766.98669109977, 'max': 497202.34119229164, 'min': 112593.80461035529} best=112593.80461035529
1: neval=203{'avg': 184627.0375054178, 'max': 370052.9901492973, 'min': 47836.579242317355} best=47836.579242317355
2: neval=197{'avg': 140725.1709866994, 'max': 250405.11817369697, 'min': 47836.579242317355} best=47836.579242317355
3: neval=189{'avg': 98675.59788291145, 'max': 219605.86519136792, 'min': 32497.335506787116} best=32497.335506787116
4: neval=197{'avg': 61341.07127545305, 'max': 199254.2098847315, 'min': 16751.49616868273} best=16751.49616868273
5: neval=181{'avg': 40118.62457599732, 'max': 112593.80461035529, 'min': 10668.839564347232} best=10668.839564347232
6: neval=193{'avg': 29318.82005885362, 'max': 85023.44354724238, 'min': 10668.839564347232} best=10668.839564347232
7: neval=211{'avg': 23157.167051547967, 'max': 107145.0966979714, 'min': 10668.839564347232} best=10668.839564347232
8: neval=215{'avg': 17790.860653486317, 'max': 173478.1781240856, 'min': 10668.839564347232} best=10668.839564347232
9: neval=203{'avg': 13330.119508541029, 'max': 95985.40822367358, 'min': 10668.839564347232} best=10668.839564347232
10: neval=198{'avg': 11147.505668070566, 'max': 20287.321039389702, 'min': 10612.374821296602} best=10612.374821296602
11: neval=196{'avg': 11406.792465015138, 'max': 176224.34105552832, 'min': 10612.374821296602} best=10612.374821296602
12: neval=199{'avg': 10638.065749802687, 'max': 10668.839564347232, 'min': 9024.237725253683} best=9024.237725253683
13: neval=208{'avg': 10629.540103183992, 'max': 10668.839564347232, 'min': 10612.374821296602} best=9024.237725253683
14: neval=206{'avg': 10616.214423824045, 'max': 10668.839564347232, 'min': 10612.374821296602} best=9024.237725253683
15: neval=194{'avg': 11467.856942619568, 'max': 174488.64594042787, 'min': 10612.374821296602} best=9024.237725253683
16: neval=202{'avg': 10612.374821296602, 'max': 10612.374821296602, 'min': 10612.374821296602} best=9024.237725253683
17: neval=188{'avg': 10789.949324004423, 'max': 47166.59268476383, 'min': 10612.374821296602} best=9024.237725253683
18: neval=175{'avg': 10612.374821296602, 'max': 10612.374821296602, 'min': 10612.374821296602} best=9024.237725253683
19: neval=195{'avg': 10959.773928364686, 'max': 97462.15158831741, 'min': 10612.374821296602} best=9024.237725253683
20: neval=197{'avg': 10612.374821296602, 'max': 10612.374821296602, 'min': 10612.374821296602} best=9024.237725253683
21: neval=204{'avg': 10382.35038958982, 'max': 10612.374821296602, 'min': -888.8467640425079} best=-888.8467640425079
22: neval=195{'avg': 10473.875595590982, 'max': 67997.34107760462, 'min': -888.8467640425079} best=-888.8467640425079
23: neval=196{'avg': 9731.373525417892, 'max': 48064.16155779362, 'min': -888.8467640425079} best=-888.8467640425079
24: neval=192{'avg': 7116.003459353512, 'max': 10612.374821296602, 'min': -888.8467640425079} best=-888.8467640425079
25: neval=189{'avg': 3127.0163797347063, 'max': 25473.10442643671, 'min': -888.8467640425079} best=-888.8467640425079
26: neval=190{'avg': -289.8046362885444, 'max': 10612.374821296602, 'min': -8474.777377907769} best=-8474.777377907769
27: neval=204{'avg': -703.3023338385299, 'max': 100381.29525528254, 'min': -8474.777377907769} best=-8474.777377907769
28: neval=187{'avg': -1424.935624813441, 'max': 85555.86788659726, 'min': -8474.777377907769} best=-8474.777377907769
29: neval=202{'avg': -3409.275496010897, 'max': -888.8467640425079, 'min': -8474.777377907769} best=-8474.777377907769
30: neval=195{'avg': -6186.949701861592, 'max': 17770.07947661815, 'min': -8474.777377907769} best=-8474.777377907769
31: neval=197{'avg': -7924.459848198069, 'max': 98919.19660781627, 'min': -8474.777377907769} best=-8474.777377907769
32: neval=190{'avg': -8200.527590328611, 'max': 25806.446069486905, 'min': -8474.777377907769} best=-8474.777377907769
33: neval=195{'avg': -8474.777377907767, 'max': -8474.777377907769, 'min': -8474.777377907769} best=-8474.777377907769
34: neval=200{'avg': -8304.059038062916, 'max': 34204.807583305344, 'min': -8474.777377907769} best=-8474.777377907769
35: neval=193{'avg': -8474.777377907767, 'max': -8474.777377907769, 'min': -8474.777377907769} best=-8474.777377907769
36: neval=204{'avg': -8179.305727328912, 'max': 65393.13526680629, 'min': -8474.777377907769} best=-8474.777377907769
37: neval=195{'avg': -4070.759994356862, 'max': 546952.7913229659, 'min': -8474.777377907769} best=-8474.777377907769
38: neval=199{'avg': -8402.192370812703, 'max': 9671.474395858706, 'min': -8474.777377907769} best=-8474.777377907769
39: neval=194{'avg': -7909.3035716727645, 'max': 132893.67418084334, 'min': -8474.777377907769} best=-8474.777377907769
40: neval=199{'avg': -8191.182269163046, 'max': 63215.56987707369, 'min': -8633.091391667956} best=-8633.091391667956
41: neval=195{'avg': -8479.291653860595, 'max': -8336.834256032773, 'min': -8633.091391667956} best=-8633.091391667956
42: neval=193{'avg': -8489.342267173706, 'max': -8474.777377907769, 'min': -8633.091391667956} best=-8633.091391667956
43: neval=191{'avg': -8521.005069925744, 'max': -8474.777377907769, 'min': -8633.091391667956} best=-8633.091391667956
44: neval=204{'avg': -8574.831834604207, 'max': -8474.777377907769, 'min': -8633.091391667956} best=-8633.091391667956
45: neval=204{'avg': -8005.153952554455, 'max': 41349.61600739462, 'min': -8633.091391667956} best=-8633.091391667956
46: neval=205{'avg': -8463.319042861847, 'max': 33651.68179609935, 'min': -8633.091391667956} best=-8633.091391667956
47: neval=198{'avg': -8260.452851648753, 'max': 84526.5436131327, 'min': -8633.091391667956} best=-8633.091391667956
48: neval=199{'avg': -8458.942196326123, 'max': 34904.207443790394, 'min': -8633.091391667956} best=-8633.091391667956
49: neval=203{'avg': -8458.942196326123, 'max': 34904.207443790394, 'min': -8633.091391667956} best=-8633.091391667956
50: neval=198{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
51: neval=183{'avg': -6351.132862813, 'max': 441636.87360496237, 'min': -8633.091391667956} best=-8633.091391667956
52: neval=207{'avg': -6946.008920141654, 'max': 135840.35394322817, 'min': -8633.091391667956} best=-8633.091391667956
53: neval=217{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
54: neval=211{'avg': -8433.314123532557, 'max': 31670.382996706525, 'min': -8633.091391667956} best=-8633.091391667956
55: neval=179{'avg': -8571.758947354272, 'max': 6700.019686753105, 'min': -8633.091391667956} best=-8633.091391667956
56: neval=195{'avg': -8471.51648688275, 'max': 31760.634804633737, 'min': -8633.091391667956} best=-8633.091391667956
57: neval=190{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
58: neval=196{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
59: neval=204{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
60: neval=189{'avg': -7732.176939288795, 'max': 168525.49141514598, 'min': -8633.091391667956} best=-8633.091391667956
61: neval=194{'avg': -8060.568484397998, 'max': 89458.80356117565, 'min': -8633.091391667956} best=-8633.091391667956
62: neval=198{'avg': -7787.7407807895925, 'max': 109160.56984420755, 'min': -8633.091391667956} best=-8633.091391667956
63: neval=197{'avg': -8529.036727226105, 'max': 17380.57471879525, 'min': -8633.091391667956} best=-8633.091391667956
64: neval=199{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
65: neval=200{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
66: neval=202{'avg': -8408.846671906014, 'max': 47428.088548817555, 'min': -8633.091391667956} best=-8633.091391667956
67: neval=192{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
68: neval=187{'avg': -7113.320075257243, 'max': 160894.72471158707, 'min': -8633.091391667956} best=-8633.091391667956
69: neval=185{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
70: neval=191{'avg': -8245.539307617775, 'max': 88254.92962087737, 'min': -8633.091391667956} best=-8633.091391667956
71: neval=205{'avg': -7864.471989781758, 'max': 156195.39212423615, 'min': -8633.091391667956} best=-8633.091391667956
72: neval=200{'avg': -8112.014086074311, 'max': 67275.2227245036, 'min': -8633.091391667956} best=-8633.091391667956
73: neval=217{'avg': -6709.6602092947205, 'max': 154989.51030421787, 'min': -8633.091391667956} best=-8633.091391667956
74: neval=186{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
75: neval=202{'avg': -8419.408013379572, 'max': 44787.75318042829, 'min': -8633.091391667956} best=-8633.091391667956
76: neval=194{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
77: neval=193{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
78: neval=195{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
79: neval=193{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
80: neval=185{'avg': -8113.42390828866, 'max': 121283.77945315622, 'min': -8633.091391667956} best=-8633.091391667956
81: neval=208{'avg': -7666.114446705582, 'max': 190375.63566076275, 'min': -8633.091391667956} best=-8633.091391667956
82: neval=199{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
83: neval=209{'avg': -7737.305812328302, 'max': 123256.78309939205, 'min': -8633.091391667956} best=-8633.091391667956
84: neval=198{'avg': -8565.73037619964, 'max': 8207.162475411023, 'min': -8633.091391667956} best=-8633.091391667956
85: neval=199{'avg': -8280.121632559722, 'max': 79609.34838539088, 'min': -8633.091391667956} best=-8633.091391667956
86: neval=189{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
87: neval=192{'avg': -8633.091391667956, 'max': -8633.091391667956, 'min': -8633.091391667956} best=-8633.091391667956
